vid freq_of_visit_on_nodes
DNK033 0.1
DNK033 0.1
DNK033 0.1
DNK034 0.6
DNK034 0.1
DNK034 0.1
DNK034 0.1
DNK034 0.1
DNK035 0.6
DNK035 0.1
DNK035 0.1
DNK035 0.1
DNK035 0.1
DNK036 0.6
DNK036 0.1
DNK036 0.1
DNK036 0.1
DNK036 0.1
DNK037 0.6
DNK037 0.1
DNK037 0.1
DNK037 0.1
DNK037 0.1
DNK038 0.6
DNK038 0.1
DNK038 0.1
DNK038 0.1
DNK038 0.1
DNK039 0.6
DNK039 0.1
DNK039 0.1
DNK039 0.1
DNK039 0.1
DNK040 0.6
DNK040 0.1
DNK040 0.1
DNK040 0.1
DNK040 0.1
DNK041 0.6
DNK041 0.1
DNK041 0.1
DNK041 0.1
DNK041 0.1
DNK042 0.6
DNK042 0.1
DNK042 0.1
DNK042 0.1
DNK042 0.1
DNK043 0.6
DNK043 0.1
DNK043 0.1
DNK043 0.1
DNK043 0.1
DNK044 0.6
DNK044 0.1
DNK044 0.1
DNK044 0.1
DNK044 0.1
DNK045 0.6
DNK045 0.1
DNK045 0.1
DNK045 0.1
DNK045 0.1
DNK046 0.6
DNK046 0.1
DNK046 0.1
DNK046 0.1
DNK046 0.1
DNK047 0.6
DNK047 0.1
DNK047 0.1
DNK047 0.1
DNK047 0.1
DNK048 0.6
DNK048 0.1
DNK048 0.1
DNK048 0.1
DNK048 0.1
DNK049 0.6
DNK049 0.1
DNK049 0.1
DNK049 0.1
DNK049 0.1
DNK050 0.6
DNK050 0.1
DNK050 0.1
DNK050 0.1
DNK050 0.1
DNK051 0.6
DNK051 0.1
DNK051 0.1
DNK051 0.1
DNK051 0.1
DNK052 0.6
DNK052 0.1
DNK052 0.1
DNK052 0.1
DNK052 0.1
DNK053 0.6
DNK053 0.1
DNK053 0.1
DNK053 0.1
DNK053 0.1
DNK054 0.6
DNK054 0.1
DNK054 0.1
DNK054 0.1
DNK054 0.1
DNK055 0.6
DNK055 0.1
DNK055 0.1
DNK055 0.1
DNK055 0.1
DNK056 0.6
DNK056 0.1
DNK056 0.1
DNK056 0.1
DNK056 0.1
DNK057 0.6
DNK057 0.1
DNK057 0.1
DNK057 0.1
DNK057 0.1
DNK058 0.6
DNK058 0.1
DNK058 0.1
DNK058 0.1
DNK058 0.1
DNK059 0.6
DNK059 0.1
DNK059 0.1
DNK059 0.1
DNK059 0.1
DNK060 0.6
DNK060 0.1
DNK060 0.1
DNK060 0.1
DNK060 0.1
DNK061 0.6
DNK061 0.1
DNK061 0.1
DNK061 0.1
DNK061 0.1
DNK062 0.6
DNK062 0.1
DNK062 0.1
DNK062 0.1
DNK062 0.1
DNK063 0.6
DNK063 0.1
DNK063 0.1
DNK063 0.1
DNK063 0.1
DNK064 0.6
DNK064 0.1
DNK064 0.1
DNK064 0.1
DNK064 0.1
DNK065 0.6
DNK065 0.1
DNK065 0.1
DNK065 0.1
DNK065 0.1
DNK066 0.6
DNK066 0.1
DNK066 0.1
DNK066 0.1
DNK066 0.1
DNK067 0.6
DNK067 0.1
DNK067 0.1
DNK067 0.1
DNK067 0.1
DNK068 0.6
DNK068 0.1
DNK068 0.1
DNK068 0.1
DNK068 0.1
DNK069 0.6
DNK069 0.1
DNK069 0.1
DNK069 0.1
DNK069 0.1
DNK070 0.6
DNK070 0.1
DNK070 0.1
DNK070 0.1
DNK070 0.1
DNK071 0.6
DNK071 0.1
DNK071 0.1
DNK071 0.1
DNK071 0.1
DNK072 0.6
DNK072 0.1
DNK072 0.1
DNK072 0.1
DNK072 0.1
DNK073 0.6
DNK073 0.1
DNK073 0.1
DNK073 0.1
DNK073 0.1
DNK074 0.6
DNK074 0.1
DNK074 0.1
DNK074 0.1
DNK074 0.1
DNK075 0.6
DNK075 0.1
DNK075 0.1
DNK075 0.1
DNK075 0.1
DNK076 0.6
DNK076 0.1
DNK076 0.1
DNK076 0.1
DNK076 0.1
DNK077 0.6
DNK077 0.1
DNK077 0.1
DNK077 0.1
DNK077 0.1
DNK078 0.6
DNK078 0.1
DNK078 0.1
DNK078 0.1
DNK078 0.1
DNK079 0.6
DNK079 0.1
DNK079 0.1
DNK079 0.1
DNK079 0.1
DNK080 0.6
DNK080 0.1
DNK080 0.1
DNK080 0.1
DNK080 0.1
DNK081 0.6
DNK081 0.1
DNK081 0.1
DNK081 0.1
DNK081 0.1
DNK082 0.6
DNK082 0.1
DNK082 0.1
DNK082 0.1
DNK082 0.1
DNK083 0.6
DNK083 0.1
DNK083 0.1
DNK083 0.1
DNK083 0.1
DNK084 0.6
DNK084 0.1
DNK084 0.1
DNK084 0.1
DNK084 0.1
DNK085 0.6
DNK085 0.1
DNK085 0.1
DNK085 0.1
DNK085 0.1
DNK086 0.6
DNK086 0.1
DNK086 0.1
DNK086 0.1
DNK086 0.1
DNK087 0.6
DNK087 0.1
DNK087 0.1
DNK087 0.1
DNK087 0.1
DNK088 0.6
DNK088 0.1
DNK088 0.1
DNK088 0.1
DNK088 0.1
DNK089 0.6
DNK089 0.1
DNK089 0.1
DNK089 0.1
DNK089 0.1
DNK090 0.6
DNK090 0.1
DNK090 0.1
DNK090 0.1
DNK090 0.1
DNK091 0.6
DNK091 0.1
DNK091 0.1
DNK091 0.1
DNK091 0.1
DNK092 0.6
DNK092 0.1
DNK092 0.1
DNK092 0.1
DNK092 0.1
DNK093 0.6
DNK093 0.1
DNK093 0.1
DNK093 0.1
DNK093 0.1
DNK094 0.6
DNK094 0.1
DNK094 0.1
DNK094 0.1
DNK094 0.1
DNK095 0.6
DNK095 0.1
DNK095 0.1
DNK095 0.1
DNK095 0.1
DNK096 0.6
DNK096 0.1
DNK096 0.1
DNK096 0.1
DNK096 0.1
DNK097 0.6
DNK097 0.1
DNK097 0.1
DNK097 0.1
DNK097 0.1
DNK098 0.6
DNK098 0.1
DNK098 0.1
DNK098 0.1
DNK098 0.1
DNK099 0.6
DNK099 0.1
DNK099 0.1
DNK099 0.1
DNK099 0.1
